Date,Open,High,Low,Close,Adj Close,Volume
24/5/2016,43.200001,43.299999,42.650002,42.849998,41.988567,12951420
25/5/2016,43.5,44.400002,43.450001,44.299999,43.40942,26620213
26/5/2016,44.599998,44.700001,44.299999,44.5,43.605396,26070348
27/5/2016,44.599998,44.950001,44.299999,44.849998,43.94836,17432356
30/5/2016,44.599998,45.200001,44.299999,44.799999,43.899364,12807762
31/5/2016,44.75,45.900002,44.599998,45.450001,44.536301,23660746
1/6/2016,45.849998,46.299999,45.400002,45.599998,44.683285,24524162
2/6/2016,45.950001,46.400002,45.5,45.900002,44.977257,17694708
3/6/2016,46.299999,46.75,46.049999,46.150002,45.222229,24991433
6/6/2016,46,46.400002,45.599998,46.099998,45.173229,14717314
7/6/2016,46.849998,46.900002,46.299999,46.599998,45.663181,19130365
8/6/2016,46.75,46.75,46.200001,46.5,45.565189,18975620
10/6/2016,46.5,46.950001,46.400002,46.650002,45.712177,22134932
13/6/2016,45.700001,46,44.849998,44.950001,44.046352,27882006
14/6/2016,44.700001,45,44.299999,44.700001,43.80138,18664796
15/6/2016,44.299999,45.450001,44.299999,45,44.095348,12672212
16/6/2016,44.5,44.5,43.700001,44.299999,43.40942,19033650
17/6/2016,44.799999,45,44.299999,44.599998,43.703388,14357268
20/6/2016,44.849998,45.099998,44.099998,45.049999,44.144344,16956332
21/6/2016,44.75,45.25,44.650002,45,44.095348,13905873
22/6/2016,45.25,46.099998,44.75,45.5,44.585293,25010019
23/6/2016,45.599998,46.599998,45.599998,46.200001,45.271225,19147264
24/6/2016,45.549999,46.75,43.299999,44.75,43.850376,44381025
27/6/2016,44.099998,44.700001,43.849998,44.5,43.605396,20135380
28/6/2016,43.599998,44.5,43.599998,44.450001,43.556408,19040509
29/6/2016,44.599998,45.200001,44.549999,44.900002,43.99736,20169340
30/6/2016,46.5,46.5,45.700001,46.349998,45.418205,32349572
4/7/2016,46.349998,46.799999,46.049999,46.700001,45.761169,30632865
5/7/2016,46.049999,46.400002,45.700001,46.200001,45.271225,15349278
6/7/2016,45.299999,45.650002,45,45.599998,44.683285,17802315
7/7/2016,45.950001,46.099998,45.5,45.900002,44.977257,12025533
8/7/2016,45.700001,46.200001,45.549999,45.849998,44.928257,12211135
11/7/2016,46.950001,46.950001,46.049999,46.200001,45.271225,13915545
12/7/2016,47,47.150002,46.5,47.099998,46.153126,21185393
13/7/2016,47.299999,47.400002,46.900002,47.150002,46.202126,14419413
14/7/2016,46.950001,47.650002,46.75,47.549999,46.594082,13882433
15/7/2016,47.900002,48.400002,47.650002,48.049999,47.084034,22867278
18/7/2016,48.25,48.950001,48.049999,48.650002,47.67197,23412145
19/7/2016,48.349998,49,48.099998,48.849998,47.86795,20782244
20/7/2016,48.599998,49.5,48.549999,49.200001,48.210911,24742363
21/7/2016,49.450001,49.75,49.200001,49.299999,48.308903,17926408
22/7/2016,49,49.200001,48.700001,49.049999,48.063931,17570011
25/7/2016,48.700001,49.049999,48.650002,49,48.014935,15194604
26/7/2016,48.5,49.950001,48.5,49.849998,48.847843,32701806
27/7/2016,49.849998,50.299999,49.400002,49.650002,48.651867,24787393
28/7/2016,49.299999,49.599998,48.400002,49.049999,48.063931,32518213
29/7/2016,48.599998,48.950001,47.799999,48.049999,47.084034,34521542
1/8/2016,48.599998,49.549999,48.5,49,48.014935,40024027
2/8/2016,49,49,49,49,48.014935,0
